Game,Date,VOD,Game Moddée,Nombre de joueurs,Nombre de loups,Rôle Traître,Rôle Amoureux,Rôles solo,Camp victorieux,Type de victoire,Nombre de journées,Survivants villageois,Survivants loups (traître inclus),Survivants amoureux,Survivants solo,Liste des gagnants,Récolte,Total récolte,Pourcentage de récolte,Liste des joueurs
35,28/12/2023,lien,FALSE,10,2,,,,Villageois,Votes,3,3,0,,,"Ponce, Covfefe, Khalen, LyeGaia, Naka, Onutrem, Tsuna, Wingo",1155,2000,"57,75%","Ponce, Bytell, Covfefe, Khalen, Lutti, LyeGaia, Naka, Onutrem, Tsuna, Wingo"
36,28/12/2023,lien,FALSE,10,2,,,,Loups,Domination,2,1,1,,,"Ponce, Wingo",835,2000,"41,75%","Ponce, Bytell, Covfefe, Khalen, Lutti, LyeGaia, Naka, Onutrem, Tsuna, Wingo"
37,28/12/2023,lien,FALSE,10,2,,,,Loups,Domination,3,1,2,,,"Ponce, Naka",1090,2000,"54,50%","Ponce, Bytell, Covfefe, Khalen, Lutti, LyeGaia, Naka, Onutrem, Tsuna, Wingo"
38,28/12/2023,lien,FALSE,10,2,,,,Villageois,Votes,2,3,0,,,"Ponce, Bytell, Khalen, Lutti, LyeGaia, Naka, Tsuna, Wingo",680,2000,"34,00%","Ponce, Bytell, Covfefe, Khalen, Lutti, LyeGaia, Naka, Onutrem, Tsuna, Wingo"
39,16/01/2024,lien,FALSE,9,2,,,,Villageois,Récolte,4,4,2,,,"Ponce, Bytell, Lutti, LyeGaia, Nahomay, Onutrem, Wingo",1000,1000,"100,00%","Ponce, Bytell, Khalen, Lutti, LyeGaia, Nahomay, Onutrem, Tsuna, Wingo"
40,16/01/2024,lien,FALSE,10,2,,,,Villageois,Votes,2,3,0,,,"Ponce, Bytell, LyeGaia, Nahomay, Onutrem, Tsuna, Wingo, Anaee",480,1000,"48,00%","Ponce, Bytell, Khalen, Lutti, LyeGaia, Nahomay, Onutrem, Tsuna, Wingo, Anaee"
41,16/01/2024,lien,FALSE,10,2,,,,Villageois,Votes,2,3,0,,,"Ponce, Bytell, Khalen, Lutti, LyeGaia, Nahomay, Wingo, Anaee",410,1000,"41,00%","Ponce, Bytell, Khalen, Lutti, LyeGaia, Nahomay, Onutrem, Tsuna, Wingo, Anaee"
42,16/01/2024,lien,FALSE,10,2,,,,Villageois,Récolte,3,6,2,,,"Ponce, Bytell, Khalen, Lutti, Nahomay, Onutrem, Tsuna, Anaee",1020,1000,"102,00%","Ponce, Bytell, Khalen, Lutti, LyeGaia, Nahomay, Onutrem, Tsuna, Wingo, Anaee"
43,16/01/2024,lien,FALSE,10,2,,,,Villageois,Votes,2,4,0,,,"Ponce, Bytell, Khalen, LyeGaia, Nahomay, Onutrem, Tsuna, Wingo",575,1000,"57,50%","Ponce, Bytell, Khalen, Lutti, LyeGaia, Nahomay, Onutrem, Tsuna, Wingo, Anaee"
44,16/01/2024,lien,FALSE,10,2,,,,Villageois,Votes,2,6,0,,,"Ponce, Bytell, Khalen, Nahomay, Onutrem, Tsuna, Wingo, Anaee",425,1200,"35,42%","Ponce, Bytell, Khalen, Lutti, LyeGaia, Nahomay, Onutrem, Tsuna, Wingo, Anaee"
45,16/01/2024,lien,FALSE,10,2,,,,Loups,Domination,2,2,2,,,"Ponce, Lutti",625,1200,"52,08%","Ponce, Bytell, Khalen, Lutti, LyeGaia, Nahomay, Onutrem, Tsuna, Wingo, Anaee"
46,16/01/2024,lien,FALSE,10,2,,,,Villageois,Tir du Chasseur,3,5,0,,,"Ponce, Bytell, Khalen, LyeGaia, Nahomay, Tsuna, Wingo, Anaee",950,1200,"79,17%","Ponce, Bytell, Khalen, Lutti, LyeGaia, Nahomay, Onutrem, Tsuna, Wingo, Anaee"
47,16/01/2024,lien,FALSE,10,2,,,,Villageois,Votes,2,2,0,,,"Ponce, Bytell, Khalen, Lutti, Onutrem, Tsuna, Wingo, Anaee",500,1200,"41,67%","Ponce, Bytell, Khalen, Lutti, LyeGaia, Nahomay, Onutrem, Tsuna, Wingo, Anaee"
48,16/01/2024,lien,FALSE,10,2,,,,Loups,Domination,2,2,2,,,"Nahomay, Bytell",400,1000,"40,00%","Ponce, Bytell, Khalen, Lutti, LyeGaia, Nahomay, Onutrem, Tsuna, Wingo, Anaee"
49,16/01/2024,lien,FALSE,10,2,,,,Villageois,Votes,2,4,0,,,"Ponce, Bytell, Khalen, LyeGaia, Onutrem, Tsuna, Wingo, Anaee",605,1000,"60,50%","Ponce, Bytell, Khalen, Lutti, LyeGaia, Nahomay, Onutrem, Tsuna, Wingo, Anaee"
50,16/01/2024,lien,FALSE,10,2,,,,Loups,Domination,1,1,2,,,"Khalen, Wingo",20,1000,"2,00%","Ponce, Bytell, Khalen, Lutti, LyeGaia, Nahomay, Onutrem, Tsuna, Wingo, Anaee"
51,16/01/2024,lien,FALSE,10,2,,,,Villageois,Récolte,3,4,1,,,"Ponce, Bytell, LyeGaia, Nahomay, Onutrem, Tsuna, Wingo, Anaee",1010,1000,"101,00%","Ponce, Bytell, Khalen, Lutti, LyeGaia, Nahomay, Onutrem, Tsuna, Wingo, Anaee"
52,16/01/2024,lien,FALSE,10,2,,,,Loups,Domination,2,2,2,,,"Khalen, Anaee",470,1000,"47,00%","Ponce, Bytell, Khalen, Lutti, LyeGaia, Nahomay, Onutrem, Tsuna, Wingo, Anaee"
53,16/01/2024,lien,FALSE,10,2,,,,Loups,Domination,2,1,1,,,"Bytell, Lutti",435,1000,"43,50%","Ponce, Bytell, Khalen, Lutti, LyeGaia, Nahomay, Onutrem, Tsuna, Wingo, Anaee"
54,30/01/2024,lien,FALSE,9,2,,,,Villageois,Tir du Chasseur,3,5,0,,,"Ponce, Khalen, Lutti, Naka, Onutrem, Tsuna, Wingo",455,1000,"45,50%","Ponce, Bytell, Khalen, Lutti, Nahomay, Naka, Onutrem, Tsuna, Wingo"
55,30/01/2024,lien,FALSE,10,2,,,,Villageois,Votes,2,3,0,,,"Ponce, Khalen, Lutti, Nahomay, Naka, Tsuna, Wingo, Anaee",305,1000,"30,50%","Ponce, Bytell, Khalen, Lutti, Nahomay, Naka, Onutrem, Tsuna, Wingo, Anaee"
56,30/01/2024,lien,FALSE,10,2,,,,Villageois,Votes,3,2,0,,,"Bytell, Khalen, Lutti, Nahomay, Onutrem, Tsuna, Wingo, Anaee",660,1000,"66,00%","Ponce, Bytell, Khalen, Lutti, Nahomay, Naka, Onutrem, Tsuna, Wingo, Anaee"
57,30/01/2024,lien,FALSE,10,2,,,,Loups,Domination,2,1,1,,,"Ponce, Anaee",310,1000,"31,00%","Ponce, Bytell, Khalen, Lutti, Nahomay, Naka, Onutrem, Tsuna, Wingo, Anaee"
58,30/01/2024,lien,FALSE,10,2,,,,Villageois,Récolte,4,5,1,,,"Ponce, Khalen, Lutti, Nahomay, Naka, Tsuna, Wingo, Anaee",1005,1000,"100,50%","Ponce, Bytell, Khalen, Lutti, Nahomay, Naka, Onutrem, Tsuna, Wingo, Anaee"
59,30/01/2024,lien,FALSE,10,2,,,,Villageois,Récolte,3,5,2,,,"Ponce, Bytell, Khalen, Lutti, Nahomay, Naka, Onutrem, Tsuna, Wingo, Anaee",1010,1000,"101,00%","Ponce, Bytell, Khalen, Lutti, Nahomay, Naka, Onutrem, Tsuna, Wingo, Anaee"
60,30/01/2024,lien,FALSE,10,2,,,,Villageois,Tir du Chasseur,3,4,0,,,"Ponce, Bytell, Lutti, Naka, Onutrem, Tsuna, Wingo, Anaee",755,1000,"75,50%","Ponce, Bytell, Khalen, Lutti, Nahomay, Naka, Onutrem, Tsuna, Wingo, Anaee"
61,30/01/2024,lien,FALSE,10,2,,,,Villageois,Tir du Chasseur,4,3,0,,,"Ponce, Khalen, Lutti, Nahomay, Naka, Onutrem, Tsuna, Wingo",985,1000,"98,50%","Ponce, Bytell, Khalen, Lutti, Nahomay, Naka, Onutrem, Tsuna, Wingo, Anaee"
62,30/01/2024,lien,FALSE,10,2,,,,Villageois,Votes,3,6,0,,,"Ponce, Khalen, Lutti, Nahomay, Naka, Tsuna, Wingo, Anaee",540,1000,"54,00%","Ponce, Bytell, Khalen, Lutti, Nahomay, Naka, Onutrem, Tsuna, Wingo, Anaee"
63,06/02/2024,lien,FALSE,10,2,,,,Loups,Votes,3,1,1,,,"Khalen, Anaee",985,1000,"98,50%","Ponce, Anaee, Bytell, Khalen, LyeGaia, Nahomay, Naka, Onutrem, Tsuna, Wingo"
64,06/02/2024,lien,FALSE,10,2,,,,Loups,Domination,3,2,2,,,"Anaee, Onutrem",960,1200,"80,00%","Ponce, Anaee, Bytell, Khalen, LyeGaia, Nahomay, Naka, Onutrem, Tsuna, Wingo"
65,06/02/2024,lien,FALSE,10,2,,,,Loups,Votes,1,2,2,,,"Khalen, Tsuna",235,1200,"19,58%","Ponce, Anaee, Bytell, Khalen, LyeGaia, Nahomay, Naka, Onutrem, Tsuna, Wingo"
66,06/02/2024,lien,FALSE,10,2,,,,Villageois,Votes,2,5,0,,,"Ponce, Anaee, Bytell, Khalen, Nahomay, Naka, Onutrem, Tsuna",625,1200,"52,08%","Ponce, Anaee, Bytell, Khalen, LyeGaia, Nahomay, Naka, Onutrem, Tsuna, Wingo"
67,06/02/2024,lien,FALSE,10,2,,,,Villageois,Votes,2,6,0,,,"Ponce, Anaee, Bytell, Khalen, Naka, Onutrem, Tsuna, Wingo",660,1200,"55,00%","Ponce, Anaee, Bytell, Khalen, LyeGaia, Nahomay, Naka, Onutrem, Tsuna, Wingo"
68,06/02/2024,lien,FALSE,10,2,,,,Villageois,Votes,3,3,0,,,"Ponce, Anaee, Bytell, Nahomay, Naka, Onutrem, Tsuna, Wingo",650,1200,"54,17%","Ponce, Anaee, Bytell, Khalen, LyeGaia, Nahomay, Naka, Onutrem, Tsuna, Wingo"
69,06/02/2024,lien,FALSE,10,2,,,,Loups,Domination,4,0,1,,,"Khalen, Tsuna",1140,1200,"95,00%","Ponce, Anaee, Bytell, Khalen, LyeGaia, Nahomay, Naka, Onutrem, Tsuna, Wingo"
70,06/02/2024,lien,FALSE,10,2,,,,Villageois,Tir du Chasseur,3,7,0,,,"Anaee, Bytell, Khalen, LyeGaia, Nahomay, Naka, Tsuna, Wingo",910,1200,"75,83%","Ponce, Anaee, Bytell, Khalen, LyeGaia, Nahomay, Naka, Onutrem, Tsuna, Wingo"
71,06/02/2024,lien,FALSE,10,2,,,,Villageois,Récolte,4,4,1,,,"Ponce, Anaee, Bytell, Khalen, LyeGaia, Naka, Tsuna, Wingo",1200,1200,"100,00%","Ponce, Anaee, Bytell, Khalen, LyeGaia, Nahomay, Naka, Onutrem, Tsuna, Wingo"
72,06/02/2024,lien,FALSE,10,2,,,,Villageois,Récolte,3,5,2,,,"Ponce, Anaee, Bytell, Khalen, LyeGaia, Naka, Onutrem, Tsuna",1210,1200,"100,83%","Ponce, Anaee, Bytell, Khalen, LyeGaia, Nahomay, Naka, Onutrem, Tsuna, Wingo"
73,06/02/2024,lien,FALSE,10,2,,,,Loups,Domination,2,2,2,,,"Khalen, Anaee",610,1500,"40,67%","Ponce, Anaee, Bytell, Khalen, LyeGaia, Nahomay, Naka, Onutrem, Tsuna, Wingo"
74,29/02/2024,lien,FALSE,10,2,,,,Villageois,Votes,2,7,0,,,"Ponce, Bytell, Kao, Lutti, Maechi, Nahomay, Naka, Tsuna",715,1200,"59,58%","Ponce, Anaee, Bytell, Kao, Khalen, Lutti, Maechi, Nahomay, Naka, Tsuna"
75,29/02/2024,lien,FALSE,10,2,,,,Villageois,Votes,3,2,0,,,"Ponce, Anaee, Khalen, Lutti, Maechi, Nahomay, Naka, Tsuna",775,1200,"64,58%","Ponce, Anaee, Bytell, Kao, Khalen, Lutti, Maechi, Nahomay, Naka, Tsuna"
76,29/02/2024,lien,FALSE,10,2,,,,Loups,Domination,3,1,1,,,"Kao, Maechi",835,1200,"69,58%","Ponce, Anaee, Bytell, Kao, Khalen, Lutti, Maechi, Nahomay, Naka, Tsuna"
77,29/02/2024,lien,FALSE,10,2,,,,Loups,Domination,2,1,1,,,"Lutti, Anaee",515,1200,"42,92%","Ponce, Anaee, Bytell, Kao, Khalen, Lutti, Maechi, Nahomay, Naka, Tsuna"
78,29/02/2024,lien,FALSE,10,2,,,,Loups,Votes,3,2,2,,,"Maechi, Tsuna",780,1200,"65,00%","Ponce, Anaee, Bytell, Kao, Khalen, Lutti, Maechi, Nahomay, Naka, Tsuna"
79,29/02/2024,lien,FALSE,10,2,,,,Loups,Domination,1,1,2,,,"Khalen, Lutti",165,1200,"13,75%","Ponce, Anaee, Bytell, Kao, Khalen, Lutti, Maechi, Nahomay, Naka, Tsuna"
80,29/02/2024,lien,FALSE,10,2,,,,Villageois,Votes,2,2,0,,,"Ponce, Anaee, Bytell, Lutti, Maechi, Nahomay, Naka, Tsuna",396,1200,"33,00%","Ponce, Anaee, Bytell, Kao, Khalen, Lutti, Maechi, Nahomay, Naka, Tsuna"
81,29/02/2024,lien,FALSE,10,2,,,,Loups,Domination,2,0,2,,,"Lutti, Kao",565,1200,"47,08%","Ponce, Anaee, Bytell, Kao, Khalen, Lutti, Maechi, Nahomay, Naka, Tsuna"
82,29/02/2024,lien,FALSE,10,2,,,,Villageois,Votes,3,3,0,,,"Ponce, Bytell, Kao, Khalen, Lutti, Maechi, Naka, Tsuna",695,1200,"57,92%","Ponce, Anaee, Bytell, Kao, Khalen, Lutti, Maechi, Nahomay, Naka, Tsuna"
83,29/02/2024,lien,FALSE,10,2,,,,Loups,Domination,4,1,1,,,"Ponce, Naka",840,1200,"70,00%","Ponce, Anaee, Bytell, Kao, Khalen, Lutti, Maechi, Nahomay, Naka, Tsuna"
84,29/02/2024,lien,FALSE,10,2,,,,Villageois,Récolte,3,5,2,,,"Ponce, Anaee, Arkantors, Kao, Lutti, Maechi, Naka, Tsuna",1000,1000,"100,00%","Ponce, Anaee, Arkantors, Bytell, Kao, Khalen, Lutti, Maechi, Naka, Tsuna"
85,29/02/2024,lien,FALSE,10,2,,,,Villageois,Votes,3,2,0,,,"Ponce, Anaee, Arkantors, Bytell, Khalen, Maechi, Naka, Tsuna",730,1100,"66,36%","Ponce, Anaee, Arkantors, Bytell, Kao, Khalen, Lutti, Maechi, Naka, Tsuna"
86,29/02/2024,lien,FALSE,10,2,,,,Villageois,Votes,2,4,0,,,"Ponce, Anaee, Arkantors, Bytell, Khalen, Lutti, Maechi, Tsuna",635,1100,"57,73%","Ponce, Anaee, Arkantors, Bytell, Kao, Khalen, Lutti, Maechi, Naka, Tsuna"
87,21/03/2024,lien,FALSE,9,2,,,,Villageois,Votes,2,4,0,,,"Ponce, Anaee, Bytell, Khalen, Nahomay, Onutrem, Wingo",350,1200,"29,17%","Ponce, Anaee, Bytell, Khalen, Lutti, Nahomay, Onutrem, Tsuna, Wingo"
88,21/03/2024,lien,FALSE,9,2,,,,Villageois,Votes,3,3,0,,,"Ponce, Anaee, Bytell, Lutti, Onutrem, Tsuna, Wingo",580,1200,"48,33%","Ponce, Anaee, Bytell, Khalen, Lutti, Nahomay, Onutrem, Tsuna, Wingo"
89,21/03/2024,lien,FALSE,10,2,,,,Villageois,Votes,4,2,0,,,"Anaee, Bytell, Khalen, Lutti, Nahomay, Onutrem, Tsuna, Flonflon",950,1200,"79,17%","Ponce, Anaee, Bytell, Khalen, Lutti, Nahomay, Onutrem, Tsuna, Wingo, Flonflon"
90,21/03/2024,lien,FALSE,10,2,,,,Villageois,Votes,4,3,0,,,"Ponce, Anaee, Bytell, Khalen, Onutrem, Tsuna, Wingo, Flonflon",1045,1200,"87,08%","Ponce, Anaee, Bytell, Khalen, Lutti, Nahomay, Onutrem, Tsuna, Wingo, Flonflon"
91,21/03/2024,lien,FALSE,10,2,,,,Villageois,Votes,3,4,0,,,"Ponce, Anaee, Khalen, Lutti, Nahomay, Onutrem, Tsuna, Flonflon",860,1200,"71,67%","Ponce, Anaee, Bytell, Khalen, Lutti, Nahomay, Onutrem, Tsuna, Wingo, Flonflon"
92,21/03/2024,lien,FALSE,10,2,,,,Villageois,Tir du Chasseur,1,8,0,,,"Anaee, Khalen, Lutti, Nahomay, Onutrem, Tsuna, Wingo, Flonflon",260,1200,"21,67%","Ponce, Anaee, Bytell, Khalen, Lutti, Nahomay, Onutrem, Tsuna, Wingo, Flonflon"
93,21/03/2024,lien,FALSE,10,2,,,,Villageois,Votes,2,4,0,,,"Ponce, Anaee, Bytell, Khalen, Lutti, Onutrem, Wingo, Flonflon",670,1200,"55,83%","Ponce, Anaee, Bytell, Khalen, Lutti, Nahomay, Onutrem, Tsuna, Wingo, Flonflon"
94,21/03/2024,lien,FALSE,10,2,,,,Villageois,Votes,2,6,0,,,"Ponce, Anaee, Bytell, Khalen, Lutti, Onutrem, Wingo, Flonflon",740,1200,"61,67%","Ponce, Anaee, Bytell, Khalen, Lutti, Nahomay, Onutrem, Tsuna, Wingo, Flonflon"
95,21/03/2024,lien,FALSE,10,2,,,,Loups,Domination,2,2,2,,,"Ponce, Bytell",770,1200,"64,17%","Ponce, Anaee, Bytell, Khalen, Lutti, Nahomay, Onutrem, Tsuna, Wingo, Flonflon"
96,21/03/2024,lien,FALSE,10,2,,,,Loups,Domination,3,2,2,,,"Ponce, Onutrem",815,1200,"67,92%","Ponce, Anaee, Bytell, Khalen, Lutti, Nahomay, Onutrem, Tsuna, Wingo, Flonflon"
97,21/03/2024,lien,FALSE,10,2,,,,Villageois,Votes,2,4,0,,,"Ponce, Anaee, Bytell, Khalen, Lutti, Onutrem, Tsuna, Flonflon",565,1200,"47,08%","Ponce, Anaee, Bytell, Khalen, Lutti, Nahomay, Onutrem, Tsuna, Wingo, Flonflon"
98,21/03/2024,lien,FALSE,9,2,,,,Villageois,Votes,2,4,0,,,"Ponce, Anaee, Bytell, Khalen, Lutti, Onutrem, Wingo",860,1200,"71,67%","Ponce, Anaee, Bytell, Khalen, Lutti, Onutrem, Tsuna, Wingo, Flonflon"
